# energy grid [eV]     epsr_x  epsr_y  epsr_z
# plasmon frequences [eV]:     8.767284667    8.767322770    9.063732849
    6.112224449   -0.271823017   -0.271901374   -0.800349759
    6.132264529   -0.338875939   -0.338978324   -0.607593678
    6.152304609   -0.389509107   -0.389612427   -0.392223396
    6.172344689   -0.404635902   -0.404705577   -0.187302237
    6.192384770   -0.402128272   -0.402148120   -0.024341559
    6.212424850   -0.421871796   -0.421846560    0.066016303
    6.232464930   -0.500941465   -0.500895428    0.085304855
    6.252505010   -0.643498000   -0.643464931    0.075123691
    6.272545090   -0.813183831   -0.813187613    0.061793455
    6.292585170   -0.947816207   -0.947858988    0.001222267
    6.312625251   -1.005946644   -1.006012728   -0.175215884
    6.332665331   -1.005857550   -1.005933677   -0.441302015
    6.352705411   -1.003318786   -1.003402717   -0.664476834
    6.372745491   -1.031144985   -1.031237184   -0.741882143
    6.392785571   -1.082925137   -1.083019882   -0.673454978
    6.412825651   -1.145140492   -1.145227435   -0.528776590
    6.432865731   -1.196529034   -1.196603594   -0.393591584
    6.452905812   -1.216358442   -1.216420401   -0.329376172
    6.472945892   -1.216168668   -1.216211566   -0.338645194
    6.492985972   -1.214038733   -1.214057396   -0.368710668
    6.513026052   -1.192809083   -1.192817690   -0.368652809
    6.533066132   -1.120779885   -1.120797141   -0.329848002
    6.553106212   -1.000907767   -1.000935393   -0.270299185
    6.573146293   -0.869178904   -0.869209134   -0.198262963
    6.593186373   -0.757433179   -0.757464093   -0.112349463
    6.613226453   -0.667970932   -0.668008490   -0.005668942
    6.633266533   -0.585663772   -0.585707581    0.136622934
    6.653306613   -0.508396738   -0.508437783    0.317526463
    6.673346693   -0.449755114   -0.449792794    0.522066725
    6.693386774   -0.418161198   -0.418206785    0.729066502
    6.713426854   -0.412561559   -0.412622076    0.916412398
    6.733466934   -0.434501828   -0.434574457    1.062943635
    6.753507014   -0.470408904   -0.470483326    1.158907782
    6.773547094   -0.486460766   -0.486520739    1.219128682
    6.793587174   -0.465766572   -0.465802330    1.270969079
    6.813627255   -0.413158027   -0.413176016    1.317227568
    6.833667335   -0.331254297   -0.331266809    1.330637070
    6.853707415   -0.231729507   -0.231737969    1.286524249
    6.873747495   -0.152248855   -0.152244004    1.180932207
    6.893787575   -0.140092209   -0.140068683    1.039844674
    6.913827655   -0.213554159   -0.213523096    0.906133622
    6.933867735   -0.337534091   -0.337507754    0.808280645
    6.953907816   -0.458459840   -0.458433194    0.760950686
    6.973947896   -0.553014487   -0.552980607    0.773211503
    6.993987976   -0.620084860   -0.620045759    0.837419355
    7.014028056   -0.646051660   -0.646015864    0.907076818
    7.034068136   -0.617963288   -0.617937494    0.915389834
    7.054108216   -0.551748672   -0.551731998    0.835261904
    7.074148297   -0.476673676   -0.476659828    0.720405519
    7.094188377   -0.413707780   -0.413689719    0.650670884
    7.114228457   -0.365887263   -0.365862713    0.652549356
    7.134268537   -0.319891437   -0.319863532    0.709399822
    7.154308617   -0.273488693   -0.273460464    0.803102325
    7.174348697   -0.244078412   -0.244046448    0.915345868
    7.194388778   -0.238329449   -0.238280633    1.016744973
    7.214428858   -0.242855601   -0.242772359    1.077459143
    7.234468938   -0.251138597   -0.251010298    1.093508676
    7.254509018   -0.265679721   -0.265520730    1.089430610
    7.274549098   -0.277206585   -0.277057726    1.086849964
    7.294589178   -0.272064617   -0.271948400    1.081937972
    7.314629259   -0.253530459   -0.253434190    1.047668345
    7.334669339   -0.232490580   -0.232405630    0.966529482
    7.354709419   -0.213410009   -0.213352572    0.869037820
    7.374749499   -0.203384298   -0.203368901    0.808146193
    7.394789579   -0.212944039   -0.212964133    0.812343668
    7.414829659   -0.231890058   -0.231925953    0.871023456
    7.434869739   -0.226549913   -0.226582656    0.954864748
    7.454909820   -0.178716869   -0.178735723    1.050393905
    7.474949900   -0.106739361   -0.106739587    1.169595335
    7.494989980   -0.047502315   -0.047480868    1.326440485
    7.515030060   -0.029594041   -0.029551175    1.513575089
    7.535070140   -0.051035523   -0.050980664    1.709998592
    7.555110220   -0.085094835   -0.085044985    1.893628710
