# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    3.607214429    5.931811362    5.931372851    1.285244723
    3.627254509    5.748421821    5.748169379    1.298376583
    3.647294589    5.501637991    5.501550731    1.324353013
    3.667334669    5.286468512    5.286437785    1.344657988
    3.687374749    5.126042053    5.125990037    1.342876301
    3.707414830    5.046013052    5.045908746    1.316167901
    3.727454910    5.105411407    5.105244702    1.267294911
    3.747494990    5.343474846    5.343237834    1.210850091
    3.767535070    5.759356622    5.759047842    1.163832749
    3.787575150    6.277003481    6.276661081    1.128561861
    3.807615230    6.664123721    6.663831673    1.101054674
    3.827655311    6.652554759    6.652353210    1.079706114
    3.847695391    6.254063503    6.253913718    1.060432023
    3.867735471    5.713591004    5.713501316    1.038787297
    3.887775551    5.192686119    5.192768123    1.016979775
    3.907815631    4.732483019    4.732803025    1.005979580
    3.927855711    4.378542896    4.379002142    1.016496380
    3.947895792    4.192373855    4.192833376    1.051015448
    3.967935872    4.195625593    4.196017766    1.106673336
    3.987975952    4.351961278    4.352264041    1.177938635
    4.008016032    4.592276414    4.592471543    1.253079263
    4.028056112    4.855317725    4.855380897    1.312892812
    4.048096192    5.085714785    5.085621768    1.331840827
    4.068136273    5.225215724    5.224991507    1.299339235
    4.088176353    5.237888051    5.237641577    1.238700333
    4.108216433    5.106776946    5.106635560    1.178859585
    4.128256513    4.850466507    4.850452008    1.127548741
    4.148296593    4.556180102    4.556203985    1.078254984
    4.168336673    4.329948963    4.329937894    1.026401054
    4.188376754    4.239366713    4.239314321    0.982056269
    4.208416834    4.294899475    4.294834797    0.962123948
    4.228456914    4.446227221    4.446189965    0.975452928
    4.248496994    4.598452069    4.598471246    1.019079029
    4.268537074    4.680363937    4.680443698    1.078694803
    4.288577154    4.709302895    4.709432661    1.134830236
    4.308617234    4.767732781    4.767892410    1.179513874
    4.328657315    4.938887649    4.939065588    1.222014118
    4.348697395    5.274045343    5.274238491    1.277235186
    4.368737475    5.749150465    5.749339744    1.356532588
    4.388777555    6.248508422    6.248691046    1.465443959
    4.408817635    6.626753593    6.627010759    1.608271999
    4.428857715    6.731351758    6.731784823    1.787778083
    4.448897796    6.470346353    6.470920158    1.996238519
    4.468937876    5.957878849    5.958402959    2.216896940
    4.488977956    5.408903519    5.409182349    2.432221825
    4.509018036    4.944327007    4.944322936    2.622515009
    4.529058116    4.591038549    4.590854782    2.774625576
    4.549098196    4.364266370    4.364026544    2.905958449
    4.569138277    4.278423341    4.278216937    3.063200845
    4.589178357    4.293906582    4.293812481    3.263191242
    4.609218437    4.312814541    4.312886574    3.453299148
    4.629258517    4.276238710    4.276432340    3.567916546
    4.649298597    4.208964549    4.209174150    3.622307611
    4.669338677    4.146102753    4.146271875    3.690561997
    4.689378758    4.124268345    4.124403275    3.807161003
    4.709418838    4.180744432    4.180860452    3.944359001
    4.729458918    4.279156802    4.279259377    4.067618814
    4.749498998    4.307837559    4.307920378    4.176164597
    4.769539078    4.205704846    4.205762817    4.279863293
    4.789579158    4.032776669    4.032832951    4.358746308
    4.809619238    3.888745769    3.888820096    4.363260933
    4.829659319    3.822704596    3.822773777    4.275791575
    4.849699399    3.819506581    3.819545613    4.158837758
    4.869739479    3.836402990    3.836435479    4.093652758
    4.889779559    3.833974717    3.834056332    4.129895502
    4.909819639    3.788244621    3.788412347    4.282714456
    4.929859719    3.710468717    3.710742149    4.514230508
    4.949899800    3.644189371    3.644581655    4.759905244
    4.969939880    3.653576143    3.654064352    5.002685829
    4.989979960    3.793153237    3.793689516    5.282733285
    5.010020040    4.063451296    4.063976287    5.614371955
    5.030060120    4.392390925    4.392813594    5.927626694
    5.050100200    4.643988245    4.644226311    6.138192892
    5.070140281    4.691962341    4.692016516    6.226162104
    5.090180361    4.547965807    4.547911575    6.207270787
    5.110220441    4.357634651    4.357560694    6.139859983
    5.130260521    4.240805235    4.240763620    6.127476246
    5.150300601    4.203604523    4.203603215    6.216996095
    5.170340681    4.203558546    4.203591900    6.356836041
    5.190380762    4.207256511    4.207318006    6.503191674
    5.210420842    4.165546848    4.165611561    6.690948581
    5.230460922    4.038444957    4.038492648    6.957625273
    5.250501002    3.849327214    3.849352879    7.264543710
    5.270541082    3.649409630    3.649414091    7.501587596
    5.290581162    3.454383525    3.454393673    7.616283617
    5.310621242    3.235587951    3.235646906    7.717853561
    5.330661323    2.978265738    2.978387291    7.924978359
    5.350701403    2.732291733    2.732451431    8.202615439
    5.370741483    2.566465216    2.566637954    8.435322747
    5.390781563    2.512561330    2.512737855    8.593897353
    5.410821643    2.560634506    2.560813984    8.720460632
    5.430861723    2.672964788    2.673150650    8.781376348
    5.450901804    2.798487482    2.798681429    8.725543381
    5.470941884    2.883475426    2.883662157    8.609173209
    5.490981964    2.902866459    2.903029858    8.532603008
    5.511022044    2.895137612    2.895291476    8.498801554
    5.531062124    2.915868507    2.916029958    8.456658897
    5.551102204    2.961630564    2.961771027    8.407035312
    5.571142285    2.986772631    2.986832648    8.355168016
    5.591182365    2.982858791    2.982835131    8.299662718
    5.611222445    2.998187930    2.998136383    8.279659909
    5.631262525    3.076533043    3.076495011    8.291299514
    5.651302605    3.198832291    3.198813858    8.240358203
    5.671342685    3.291330680    3.291325571    8.060175067
    5.691382766    3.306538027    3.306547680    7.759160896
    5.711422846    3.271931189    3.271953279    7.343238945
    5.731462926    3.246108952    3.246120333    6.789461287
    5.751503006    3.260787222    3.260774513    6.125068603
    5.771543086    3.313514868    3.313501866    5.472112062
    5.791583166    3.394124912    3.394132673    4.958616074
    5.811623246    3.487250613    3.487283225    4.611788629
    5.831663327    3.543548804    3.543614661    4.365436876
    5.851703407    3.504352818    3.504454627    4.151577883
    5.871743487    3.386927953    3.387047976    3.952558231
    5.891783567    3.281880858    3.281994216    3.781571522
    5.911823647    3.254222914    3.254327038    3.660260501
    5.931863727    3.289350843    3.289472185    3.600282607
    5.951903808    3.325209729    3.325362506    3.599438940
    5.971943888    3.314796278    3.314937477    3.632420561
    5.991983968    3.242343531    3.242409687    3.664789744
    6.012024048    3.119726989    3.119708589    3.674928196
    6.032064128    2.996257387    2.996199712    3.642157392
    6.052104208    2.928734559    2.928678076    3.544006563
    6.072144289    2.942731541    2.942691327    3.361808440
    6.092184369    3.014816266    3.014797298    3.121578803
    6.112224449    3.084776355    3.084772703    2.896690046
    6.132264529    3.107135973    3.107119870    2.742191853
    6.152304609    3.088372870    3.088318088    2.671212751
    6.172344689    3.067557058    3.067470345    2.679433002
    6.192384770    3.079883288    3.079792693    2.757751481
    6.212424850    3.134931269    3.134867730    2.875891705
    6.232464930    3.205293994    3.205280026    2.984586887
    6.252505010    3.240648803    3.240684876    3.062044238
    6.272545090    3.199194001    3.199258864    3.142257348
    6.292585170    3.079636211    3.079701273    3.259070866
    6.312625251    2.933476012    2.933525131    3.359667526
    6.332665331    2.822542655    2.822577019    3.327085893
